Município,Classificação de % em relação a população geral,% em relação a população geral,Doses Aplicadas - D1,População,
SERRANA,1,65,2935764,29682,45644
FLORA RICA,2,34,26573427,490,1430
TURMALINA,3,32,54716981,552,1696
SANTANA DA PONTE PENSA,4,32,10633947,471,1467
ÁGUAS DE SÃO PEDRO,5,31,95115024,1125,3521
ARCO-ÍRIS,6,29,94923858,531,1773
SANTA SALETE,7,28,60824742,444,1552
FLOREAL,8,27,4137931,795,2900
RIBEIRÃO DOS ÍNDIOS,9,27,11330935,603,2224
URU,10,26,79965308,309,1153
ALFREDO MARCONDES,11,26,3623327,1103,4184
SÃO JOÃO DO PAU D'ALHO,12,26,28571429,552,2100
APARECIDA D'OESTE,13,25,80567581,1073,4158
SÃO CAETANO DO SUL,14,25,79944059,41784,161957
OSCAR BRESSANE,15,25,77794852,671,2603
PRESIDENTE BERNARDES,16,25,72371957,3350,13023
ÁLVARES FLORENCE,17,25,8911434,915,3647
PARISI,18,25,8068234,544,2169
ELDORADO,19,25,128667,3888,15544
DIVINOLÂNDIA,20,24,8692044,2757,11086
FLORÍNEA,21,24,76441764,657,2653
SANTOS,22,24,49845039,106239,433656
BARRA DO TURVO,23,24,31865828,1856,7632
SANTA RITA D'OESTE,24,24,24607961,603,2487
MESÓPOLIS,25,24,9448819,459,1905
NOVA CANAÃ PAULISTA,26,24,2807775,445,1852
ÓLEO,27,23,87697289,590,2471
PEDRANÓPOLIS,28,23,8210399,591,2481
INDIAPORÃ,29,23,7261966,922,3886
POPULINA,30,23,69942197,984,4152
ALTO ALEGRE,31,23,40998043,957,4088
SANTA CRUZ DA CONCEIÇÃO,32,23,37147887,1062,4544
CÂNDIDO RODRIGUES,33,23,1511254,648,2799
MAGDA,34,23,14635719,718,3102
TURIÚBA,35,23,1980198,465,2020
TUPI PAULISTA,36,22,9673362,3579,15583
SANTA ALBERTINA,37,22,91597476,1380,6022
DOLCINÓPOLIS,38,22,86931818,483,2112
MARINÓPOLIS,39,22,83950617,481,2106
SÃO FRANCISCO,40,22,8257011,643,2817
ADOLFO,41,22,76308385,809,3554
DUARTINA,42,22,75396123,2829,12433
NEVES PAULISTA,43,22,68295416,2024,8923
JALES,44,22,63571879,11137,49201
SANTA FÉ DO SUL,45,22,5900562,7356,32563
CRUZÁLIA,46,22,58064516,462,2046
SANTA RITA DO PASSA QUATRO,47,22,57246377,6230,27600
TAIÚVA,48,22,53774263,1254,5564
SANTA CLARA D'OESTE,49,22,47988642,475,2113
ADAMANTINA,50,22,41462789,7870,35111
PONGAÍ,51,22,32352941,759,3400
ASPÁSIA,52,22,27722772,405,1818
MIRA ESTRELA,53,22,24726336,691,3106
NOVA GUATAPORANGA,54,22,23655914,517,2325
